sepal_length,sepal_width,petal_length,petal_width,species
4.36,3.54,1.61,0.11,Iris-setosa
5.07,2.78,1.58,0.19,Iris-setosa
5.34,3.11,1.84,0.17,Iris-setosa
4.81,2.54,1.83,0.54,Iris-setosa
4.69,3.69,1.74,0.38,Iris-setosa
5.09,2.81,1.08,0.55,Iris-setosa
5.65,3.63,1.31,0.27,Iris-setosa
5.39,4.18,1.8,0.49,Iris-setosa
5.26,2.48,1.15,0.55,Iris-setosa
5.21,2.32,1.09,0.43,Iris-setosa
4.31,2.64,1.49,0.45,Iris-setosa
5.28,2.77,1.64,0.22,Iris-setosa
4.79,3.87,1.58,0.52,Iris-setosa
5.29,3.49,1.08,0.28,Iris-setosa
4.7,2.81,1.88,0.3,Iris-setosa
5.64,3.63,1.72,0.35,Iris-setosa
5.17,3.33,1.18,0.46,Iris-setosa
4.72,2.35,1.58,0.19,Iris-setosa
5.71,4.3,1.82,0.29,Iris-setosa
4.32,4.25,1.39,0.58,Iris-setosa
5.75,4.09,1.27,0.29,Iris-setosa
5.58,2.97,1.15,0.38,Iris-setosa
5.7,3.76,1.51,0.15,Iris-setosa
5.22,4.38,1.13,0.36,Iris-setosa
5.62,3.86,1.63,0.45,Iris-setosa
4.84,2.92,1.73,0.51,Iris-setosa
5.6,4.22,1.46,0.35,Iris-setosa
5.5,3.66,1.63,0.5,Iris-setosa
5.64,3.01,1.34,0.15,Iris-setosa
5.17,2.38,1.42,0.37,Iris-setosa
4.73,3.54,1.03,0.12,Iris-setosa
5.53,3.06,1.11,0.36,Iris-setosa
5.45,2.75,1.56,0.14,Iris-setosa
4.38,3.42,1.49,0.42,Iris-setosa
5.39,4.35,1.46,0.26,Iris-setosa
5.49,2.87,1.4,0.14,Iris-setosa
4.34,4.32,1.75,0.45,Iris-setosa
4.91,2.66,1.14,0.23,Iris-setosa
5.12,3.8,1.59,0.24,Iris-setosa
5.73,3.85,1.5,0.41,Iris-setosa
4.93,2.82,1.32,0.48,Iris-setosa
4.32,2.54,1.04,0.12,Iris-setosa
5.58,3.78,1.43,0.15,Iris-setosa
5.04,3.29,1.16,0.32,Iris-setosa
4.9,3.59,1.57,0.12,Iris-setosa
4.86,3.61,1.45,0.53,Iris-setosa
5.29,2.64,1.06,0.42,Iris-setosa
4.34,3.53,1.85,0.39,Iris-setosa
4.88,3.65,1.41,0.37,Iris-setosa
5.71,3.11,1.87,0.55,Iris-setosa
4.59,2.45,1.09,0.11,Iris-setosa
4.44,3.73,1.06,0.26,Iris-setosa
5.57,2.35,1.73,0.24,Iris-setosa
4.48,3.76,1.57,0.54,Iris-setosa
5.4,3.99,1.25,0.19,Iris-setosa
5.43,3.99,1.89,0.31,Iris-setosa
4.86,3.93,1.31,0.57,Iris-setosa
5.59,3.2,1.68,0.48,Iris-setosa
4.45,4.2,1.45,0.51,Iris-setosa
4.78,4.18,1.35,0.11,Iris-setosa
5.66,2.49,1.29,0.58,Iris-setosa
5.73,3.5,1.57,0.32,Iris-setosa
4.74,2.99,1.61,0.48,Iris-setosa
5.49,3.96,1.08,0.35,Iris-setosa
4.39,3.45,1.4,0.54,Iris-setosa
4.83,2.55,1.13,0.48,Iris-setosa
5.23,2.51,1.08,0.45,Iris-setosa
4.41,4.03,1.64,0.14,Iris-setosa
4.43,4.37,1.34,0.29,Iris-setosa
5.52,4.29,1.89,0.48,Iris-setosa
4.86,2.48,1.7,0.38,Iris-setosa
4.94,4.2,1.1,0.35,Iris-setosa
4.32,3.28,1.05,0.16,Iris-setosa
4.48,3.66,1.67,0.39,Iris-setosa
5.74,3.09,1.26,0.53,Iris-setosa
4.64,4.32,1.01,0.58,Iris-setosa
4.36,4.17,1.47,0.6,Iris-setosa
4.41,3.46,1.87,0.36,Iris-setosa
5.24,3.76,1.41,0.41,Iris-setosa
5.18,4.19,1.04,0.24,Iris-setosa
5.73,4.17,1.41,0.41,Iris-setosa
4.72,2.7,1.42,0.28,Iris-setosa
5.18,2.46,1.88,0.59,Iris-setosa
5.35,3.43,1.28,0.51,Iris-setosa
5.33,2.64,1.82,0.51,Iris-setosa
5.72,3.82,1.55,0.31,Iris-setosa
5.7,4.12,1.04,0.11,Iris-setosa
4.86,4.0,1.89,0.18,Iris-setosa
5.19,3.1,1.87,0.52,Iris-setosa
5.56,3.28,1.37,0.24,Iris-setosa
4.38,4.12,1.73,0.6,Iris-setosa
5.79,3.47,1.69,0.57,Iris-setosa
5.57,2.82,1.41,0.16,Iris-setosa
5.73,3.57,1.21,0.44,Iris-setosa
5.23,3.05,1.1,0.44,Iris-setosa
5.08,3.92,1.47,0.53,Iris-setosa
5.13,3.48,1.79,0.3,Iris-setosa
4.5,2.36,1.68,0.41,Iris-setosa
5.36,2.75,1.12,0.11,Iris-setosa
4.83,3.54,1.35,0.32,Iris-setosa
5.66,3.03,1.46,0.49,Iris-setosa
4.89,3.61,1.78,0.57,Iris-setosa
4.52,4.25,1.44,0.23,Iris-setosa
4.99,4.36,1.44,0.26,Iris-setosa
5.25,2.8,1.07,0.16,Iris-setosa
4.49,2.62,1.12,0.42,Iris-setosa
4.57,3.03,1.81,0.34,Iris-setosa
5.3,2.66,1.17,0.12,Iris-setosa
4.55,2.89,1.16,0.14,Iris-setosa
4.48,3.27,1.19,0.28,Iris-setosa
5.06,3.75,1.04,0.5,Iris-setosa
5.24,2.47,1.79,0.56,Iris-setosa
4.39,2.88,1.73,0.47,Iris-setosa
4.58,2.74,1.33,0.34,Iris-setosa
5.23,3.07,1.42,0.47,Iris-setosa
4.36,2.83,1.64,0.55,Iris-setosa
5.07,3.42,1.1,0.32,Iris-setosa
5.1,2.81,1.24,0.29,Iris-setosa
4.33,2.98,1.19,0.26,Iris-setosa
4.48,4.17,1.53,0.44,Iris-setosa
5.48,3.35,1.08,0.37,Iris-setosa
5.18,3.87,1.39,0.16,Iris-setosa
4.73,3.06,1.58,0.39,Iris-setosa
4.83,4.37,1.55,0.22,Iris-setosa
4.45,2.62,1.22,0.18,Iris-setosa
4.58,2.9,1.16,0.55,Iris-setosa
4.42,3.4,1.37,0.59,Iris-setosa
4.47,3.14,1.87,0.53,Iris-setosa
5.53,2.84,1.15,0.43,Iris-setosa
5.69,3.47,1.51,0.24,Iris-setosa
5.45,2.69,1.29,0.31,Iris-setosa
5.06,2.81,1.1,0.41,Iris-setosa
4.73,3.52,1.14,0.34,Iris-setosa
5.1,2.41,1.3,0.17,Iris-setosa
4.4,4.38,1.29,0.5,Iris-setosa
4.68,3.73,1.68,0.4,Iris-setosa
5.01,3.16,1.31,0.56,Iris-setosa
5.55,4.33,1.11,0.47,Iris-setosa
5.71,2.68,1.06,0.47,Iris-setosa
5.16,4.07,1.13,0.5,Iris-setosa
4.6,2.64,1.15,0.51,Iris-setosa
5.3,3.4,1.32,0.54,Iris-setosa
4.89,4.01,1.4,0.29,Iris-setosa
4.99,2.93,1.67,0.35,Iris-setosa
4.65,4.19,1.35,0.37,Iris-setosa
5.66,3.61,1.11,0.57,Iris-setosa
5.24,3.0,1.13,0.5,Iris-setosa
5.23,3.42,1.8,0.49,Iris-setosa
4.53,2.95,1.22,0.47,Iris-setosa
4.35,3.5,1.69,0.54,Iris-setosa
4.81,4.02,1.1,0.52,Iris-setosa
4.49,3.13,1.72,0.17,Iris-setosa
4.64,3.82,1.65,0.42,Iris-setosa
5.34,3.44,1.23,0.27,Iris-setosa
4.57,4.21,1.53,0.3,Iris-setosa
4.99,4.29,1.14,0.39,Iris-setosa
5.06,3.58,1.02,0.54,Iris-setosa
5.7,3.49,1.63,0.56,Iris-setosa
5.36,2.62,1.52,0.4,Iris-setosa
4.94,3.85,1.84,0.56,Iris-setosa
4.98,2.54,1.89,0.52,Iris-setosa
4.49,4.23,1.78,0.36,Iris-setosa
5.19,3.14,1.05,0.27,Iris-setosa
5.5,2.31,1.3,0.3,Iris-setosa
5.11,4.23,1.31,0.27,Iris-setosa
5.41,3.25,1.2,0.33,Iris-setosa
4.51,2.67,1.45,0.31,Iris-setosa
5.67,3.06,1.52,0.42,Iris-setosa
4.32,3.69,1.16,0.58,Iris-setosa
4.52,3.17,1.08,0.6,Iris-setosa
5.05,3.55,1.06,0.47,Iris-setosa
4.61,4.19,1.18,0.2,Iris-setosa
4.35,3.29,1.51,0.13,Iris-setosa
5.46,3.25,1.47,0.32,Iris-setosa
4.9,3.48,1.14,0.19,Iris-setosa
5.59,4.29,1.34,0.24,Iris-setosa
5.27,3.16,1.02,0.18,Iris-setosa
5.37,3.68,1.02,0.21,Iris-setosa
4.65,3.71,1.02,0.15,Iris-setosa
5.5,2.67,1.59,0.22,Iris-setosa
4.45,2.81,1.65,0.53,Iris-setosa
5.55,3.13,1.6,0.2,Iris-setosa
4.74,4.18,1.01,0.14,Iris-setosa
4.61,2.36,1.16,0.39,Iris-setosa
4.93,4.17,1.74,0.27,Iris-setosa
4.69,3.1,1.53,0.23,Iris-setosa
5.24,3.16,1.5,0.32,Iris-setosa
4.74,4.29,1.69,0.17,Iris-setosa
5.6,3.32,1.81,0.5,Iris-setosa
4.94,2.35,1.24,0.37,Iris-setosa
5.25,2.84,1.13,0.52,Iris-setosa
5.78,3.4,1.15,0.24,Iris-setosa
4.33,4.22,1.11,0.39,Iris-setosa
4.71,3.46,1.59,0.51,Iris-setosa
4.61,2.32,1.12,0.55,Iris-setosa
5.61,3.55,1.54,0.43,Iris-setosa
4.56,4.22,1.38,0.29,Iris-setosa
5.08,2.4,1.15,0.47,Iris-setosa
4.42,3.57,1.22,0.29,Iris-setosa
4.73,3.05,1.65,0.25,Iris-setosa
5.15,3.3,1.6,0.57,Iris-setosa
5.4,2.75,1.03,0.23,Iris-setosa
5.19,2.41,1.45,0.4,Iris-setosa
4.8,3.92,1.1,0.14,Iris-setosa
5.39,3.34,1.62,0.32,Iris-setosa
4.67,4.02,1.72,0.45,Iris-setosa
4.71,3.54,1.32,0.15,Iris-setosa
5.68,2.59,1.86,0.32,Iris-setosa
4.58,3.44,1.79,0.47,Iris-setosa
5.51,3.68,1.62,0.52,Iris-setosa
4.67,3.33,1.2,0.59,Iris-setosa
5.72,2.38,1.64,0.56,Iris-setosa
4.57,3.49,1.82,0.12,Iris-setosa
5.35,2.92,1.83,0.59,Iris-setosa
5.72,3.3,1.78,0.52,Iris-setosa
4.78,4.04,1.03,0.4,Iris-setosa
4.65,2.55,1.07,0.45,Iris-setosa
4.81,3.82,1.06,0.26,Iris-setosa
5.11,3.96,1.29,0.41,Iris-setosa
5.63,3.59,1.21,0.11,Iris-setosa
5.61,2.34,1.79,0.36,Iris-setosa
5.71,3.98,1.9,0.28,Iris-setosa
5.45,3.14,1.43,0.41,Iris-setosa
5.61,4.37,1.69,0.31,Iris-setosa
4.93,3.85,1.21,0.16,Iris-setosa
4.83,2.9,1.27,0.22,Iris-setosa
4.36,2.34,1.89,0.31,Iris-setosa
4.88,3.73,1.2,0.57,Iris-setosa
5.48,2.49,1.38,0.54,Iris-setosa
5.72,3.28,1.55,0.18,Iris-setosa
5.79,2.79,1.85,0.42,Iris-setosa
5.21,3.38,1.21,0.19,Iris-setosa
4.63,2.69,1.7,0.28,Iris-setosa
4.39,4.34,1.8,0.56,Iris-setosa
5.79,2.67,1.36,0.48,Iris-setosa
5.34,2.62,1.73,0.21,Iris-setosa
4.64,3.43,1.53,0.39,Iris-setosa
4.44,4.14,1.24,0.16,Iris-setosa
5.63,4.31,1.78,0.5,Iris-setosa
5.28,3.46,1.08,0.3,Iris-setosa
4.86,2.85,1.65,0.35,Iris-setosa
4.42,2.76,1.61,0.14,Iris-setosa
5.58,3.34,1.43,0.4,Iris-setosa
5.54,3.03,1.61,0.38,Iris-setosa
4.7,4.15,1.72,0.43,Iris-setosa
5.58,4.12,1.64,0.52,Iris-setosa
5.35,3.73,1.56,0.48,Iris-setosa
4.54,4.15,1.78,0.11,Iris-setosa
5.54,2.57,1.3,0.47,Iris-setosa
4.54,4.02,1.75,0.35,Iris-setosa
4.31,2.9,1.56,0.59,Iris-setosa
5.25,2.85,1.57,0.37,Iris-setosa
5.47,2.52,1.68,0.37,Iris-setosa
5.74,3.02,1.57,0.57,Iris-setosa
4.45,4.27,1.62,0.13,Iris-setosa
4.75,3.79,1.06,0.39,Iris-setosa
4.82,3.6,1.04,0.54,Iris-setosa
5.76,4.33,1.67,0.17,Iris-setosa
5.44,2.35,1.02,0.26,Iris-setosa
5.03,3.92,1.61,0.32,Iris-setosa
4.71,4.39,1.38,0.33,Iris-setosa
4.55,3.97,1.62,0.21,Iris-setosa
4.42,3.73,1.59,0.24,Iris-setosa
5.73,2.62,1.39,0.57,Iris-setosa
4.93,3.64,1.36,0.24,Iris-setosa
5.78,3.16,1.8,0.21,Iris-setosa
4.62,2.37,1.59,0.28,Iris-setosa
5.6,3.29,1.87,0.19,Iris-setosa
5.6,3.93,1.69,0.52,Iris-setosa
5.44,3.62,1.12,0.12,Iris-setosa
5.68,3.59,1.72,0.34,Iris-setosa
4.48,2.56,1.62,0.32,Iris-setosa
4.6,3.33,1.06,0.39,Iris-setosa
4.7,3.97,1.28,0.33,Iris-setosa
4.32,2.45,1.35,0.34,Iris-setosa
5.2,2.91,1.63,0.53,Iris-setosa
5.47,2.38,1.43,0.15,Iris-setosa
4.66,4.37,1.13,0.35,Iris-setosa
5.23,3.78,1.5,0.1,Iris-setosa
4.79,3.39,1.08,0.28,Iris-setosa
4.35,2.47,1.36,0.17,Iris-setosa
5.15,3.75,1.72,0.2,Iris-setosa
4.55,2.52,1.57,0.45,Iris-setosa
4.35,4.27,1.05,0.37,Iris-setosa
5.36,4.13,1.64,0.5,Iris-setosa
4.81,4.01,1.07,0.55,Iris-setosa
5.12,4.02,1.41,0.42,Iris-setosa
5.09,3.84,1.07,0.13,Iris-setosa
4.67,2.64,1.78,0.21,Iris-setosa
5.76,3.01,1.16,0.49,Iris-setosa
5.29,3.35,1.5,0.46,Iris-setosa
4.64,4.39,1.88,0.43,Iris-setosa
4.6,3.73,1.06,0.12,Iris-setosa
4.69,3.27,1.78,0.46,Iris-setosa
5.41,3.19,1.31,0.29,Iris-setosa
5.78,2.38,1.78,0.39,Iris-setosa
4.96,3.82,1.44,0.54,Iris-setosa
5.65,3.19,1.25,0.4,Iris-setosa
5.67,2.74,1.56,0.42,Iris-setosa
5.4,2.58,1.64,0.55,Iris-setosa
4.57,2.8,1.87,0.19,Iris-setosa
5.58,3.33,1.22,0.54,Iris-setosa
4.97,3.38,1.32,0.4,Iris-setosa
4.55,3.12,1.87,0.23,Iris-setosa
5.29,2.98,1.7,0.17,Iris-setosa
5.75,3.25,1.21,0.14,Iris-setosa
4.55,3.39,1.3,0.51,Iris-setosa
4.95,2.82,1.56,0.45,Iris-setosa
4.55,2.65,1.03,0.47,Iris-setosa
5.3,3.3,1.76,0.5,Iris-setosa
5.18,4.12,1.19,0.16,Iris-setosa
4.7,2.42,1.48,0.57,Iris-setosa
4.36,2.56,1.41,0.57,Iris-setosa
4.77,3.37,1.04,0.17,Iris-setosa
5.78,4.33,1.0,0.58,Iris-setosa
5.26,4.12,1.41,0.36,Iris-setosa
5.03,3.7,1.13,0.11,Iris-setosa
4.76,3.78,1.18,0.44,Iris-setosa
5.75,2.5,1.61,0.32,Iris-setosa
5.6,2.67,1.62,0.52,Iris-setosa
5.72,3.73,1.45,0.41,Iris-setosa
5.6,3.5,1.03,0.57,Iris-setosa
5.33,3.72,1.19,0.43,Iris-setosa
4.89,3.67,1.1,0.43,Iris-setosa
5.8,2.4,1.88,0.3,Iris-setosa
5.61,3.94,1.51,0.47,Iris-setosa
5.62,3.15,1.29,0.43,Iris-setosa
5.51,3.9,1.72,0.32,Iris-setosa
5.53,2.55,1.49,0.1,Iris-setosa
4.79,3.07,1.36,0.45,Iris-setosa
4.88,3.24,1.21,0.29,Iris-setosa
4.64,2.45,1.54,0.43,Iris-setosa
5.23,3.27,1.34,0.53,Iris-setosa
5.08,3.31,1.02,0.27,Iris-setosa
4.87,3.14,1.52,0.37,Iris-setosa
5.21,3.91,1.73,0.46,Iris-setosa
5.73,2.34,1.18,0.1,Iris-setosa
5.27,4.19,1.22,0.56,Iris-setosa
4.39,4.26,1.32,0.15,Iris-setosa
5.03,2.84,1.26,0.25,Iris-setosa
5.5,3.43,1.28,0.41,Iris-setosa
5.37,2.87,1.37,0.16,Iris-setosa
4.57,3.73,1.16,0.36,Iris-setosa
5.36,2.52,1.51,0.23,Iris-setosa
5.74,3.32,1.73,0.38,Iris-setosa
4.37,3.63,1.86,0.4,Iris-setosa
5.53,4.16,1.21,0.21,Iris-setosa
5.22,3.16,1.76,0.55,Iris-setosa
4.83,2.8,1.7,0.24,Iris-setosa
5.53,3.19,1.6,0.15,Iris-setosa
5.24,3.25,1.53,0.18,Iris-setosa
5.41,4.11,1.2,0.15,Iris-setosa
4.34,3.65,1.55,0.37,Iris-setosa
4.65,3.12,1.54,0.35,Iris-setosa
5.78,2.59,1.63,0.3,Iris-setosa
4.94,3.81,1.62,0.6,Iris-setosa
4.49,2.52,1.65,0.39,Iris-setosa
4.71,2.47,1.08,0.55,Iris-setosa
4.59,2.98,1.2,0.28,Iris-setosa
4.4,3.39,1.06,0.5,Iris-setosa
4.65,3.43,1.79,0.43,Iris-setosa
5.1,2.98,1.3,0.43,Iris-setosa
5.79,3.69,1.5,0.47,Iris-setosa
5.0,2.43,1.51,0.58,Iris-setosa
4.56,3.75,1.18,0.37,Iris-setosa
4.45,3.25,1.68,0.27,Iris-setosa
5.3,3.97,1.83,0.22,Iris-setosa
4.9,2.62,1.89,0.56,Iris-setosa
5.11,4.07,1.47,0.41,Iris-setosa
4.43,3.89,1.11,0.51,Iris-setosa
5.47,3.79,1.03,0.25,Iris-setosa
4.69,3.06,1.08,0.57,Iris-setosa
5.13,2.94,1.36,0.32,Iris-setosa
5.2,3.38,1.83,0.35,Iris-setosa
5.79,4.09,1.19,0.57,Iris-setosa
4.47,4.02,1.34,0.54,Iris-setosa
5.6,3.99,1.71,0.25,Iris-setosa
4.42,3.15,1.16,0.45,Iris-setosa
4.82,4.35,1.58,0.51,Iris-setosa
4.5,4.11,1.83,0.34,Iris-setosa
5.21,3.91,1.16,0.35,Iris-setosa
4.9,2.61,1.33,0.13,Iris-setosa
4.34,2.58,1.87,0.37,Iris-setosa
5.75,3.21,1.28,0.35,Iris-setosa
4.96,2.52,1.58,0.21,Iris-setosa
5.23,3.67,1.14,0.13,Iris-setosa
5.47,3.27,1.05,0.6,Iris-setosa
4.39,3.76,1.89,0.22,Iris-setosa
4.51,2.55,1.27,0.15,Iris-setosa
5.34,2.43,1.46,0.6,Iris-setosa
5.52,3.59,1.28,0.41,Iris-setosa
5.09,3.19,1.12,0.54,Iris-setosa
4.97,2.71,1.33,0.31,Iris-setosa
5.54,3.84,1.69,0.11,Iris-setosa
4.92,3.31,1.02,0.23,Iris-setosa
5.44,2.59,1.48,0.21,Iris-setosa
4.32,2.81,1.88,0.5,Iris-setosa
5.74,3.32,1.1,0.37,Iris-setosa
4.98,4.07,1.09,0.34,Iris-setosa
4.53,2.98,1.66,0.34,Iris-setosa
4.86,3.13,1.41,0.49,Iris-setosa
5.64,4.31,1.71,0.26,Iris-setosa
5.33,3.22,1.23,0.52,Iris-setosa
4.36,4.19,1.42,0.42,Iris-setosa
5.29,4.18,1.57,0.41,Iris-setosa
4.4,3.39,1.14,0.47,Iris-setosa
5.07,3.73,1.04,0.14,Iris-setosa
5.37,2.45,1.06,0.11,Iris-setosa
5.73,3.85,1.32,0.25,Iris-setosa
4.82,3.93,1.6,0.19,Iris-setosa
4.56,2.51,1.59,0.48,Iris-setosa
4.7,2.34,1.07,0.58,Iris-setosa
4.74,3.92,1.56,0.29,Iris-setosa
4.61,2.55,1.55,0.49,Iris-setosa
5.27,3.41,1.04,0.58,Iris-setosa
5.5,2.91,1.88,0.4,Iris-setosa
5.17,3.87,1.73,0.43,Iris-setosa
4.49,3.01,1.84,0.21,Iris-setosa
4.86,3.21,1.4,0.41,Iris-setosa
5.71,2.81,1.11,0.2,Iris-setosa
5.63,3.66,1.26,0.51,Iris-setosa
5.59,4.08,1.83,0.23,Iris-setosa
5.43,3.27,1.76,0.46,Iris-setosa
5.46,3.68,1.16,0.37,Iris-setosa
5.78,4.27,1.04,0.18,Iris-setosa
4.5,3.82,1.74,0.21,Iris-setosa
5.06,4.07,1.66,0.37,Iris-setosa
5.19,3.37,1.27,0.38,Iris-setosa
5.33,4.13,1.57,0.48,Iris-setosa
4.54,3.27,1.01,0.22,Iris-setosa
5.39,4.38,1.09,0.3,Iris-setosa
5.5,2.73,1.5,0.47,Iris-setosa
5.22,2.69,1.32,0.49,Iris-setosa
5.13,2.31,1.68,0.12,Iris-setosa
5.42,2.73,1.86,0.28,Iris-setosa
4.79,2.61,1.28,0.54,Iris-setosa
5.79,3.07,1.4,0.46,Iris-setosa
5.63,3.55,1.35,0.31,Iris-setosa
5.34,2.31,1.56,0.28,Iris-setosa
5.49,2.5,1.53,0.34,Iris-setosa
5.26,2.44,1.52,0.38,Iris-setosa
5.14,3.57,1.61,0.5,Iris-setosa
4.7,4.03,1.45,0.14,Iris-setosa
4.39,3.0,1.71,0.45,Iris-setosa
5.48,3.39,1.4,0.17,Iris-setosa
4.79,3.21,1.08,0.21,Iris-setosa
5.2,3.84,1.9,0.57,Iris-setosa
5.26,3.18,1.57,0.49,Iris-setosa
4.48,3.16,1.76,0.29,Iris-setosa
5.16,3.53,1.17,0.28,Iris-setosa
4.8,2.36,1.02,0.52,Iris-setosa
4.71,3.39,1.27,0.57,Iris-setosa
4.69,3.2,1.79,0.52,Iris-setosa
4.58,3.99,1.41,0.34,Iris-setosa
4.5,2.47,1.66,0.35,Iris-setosa
4.96,3.83,1.69,0.18,Iris-setosa
5.22,2.58,1.68,0.43,Iris-setosa
5.73,2.44,1.05,0.24,Iris-setosa
4.69,2.82,1.82,0.22,Iris-setosa
4.71,3.89,1.4,0.49,Iris-setosa
4.4,3.32,1.03,0.13,Iris-setosa
5.66,2.59,1.48,0.31,Iris-setosa
4.82,4.19,1.02,0.43,Iris-setosa
5.75,3.48,1.84,0.13,Iris-setosa
4.93,2.85,1.66,0.59,Iris-setosa
4.68,3.67,1.18,0.38,Iris-setosa
5.0,4.34,1.55,0.27,Iris-setosa
4.47,2.62,1.2,0.23,Iris-setosa
5.58,3.48,1.47,0.16,Iris-setosa
5.59,3.82,1.06,0.45,Iris-setosa
5.12,2.47,1.41,0.34,Iris-setosa
4.55,4.29,1.76,0.43,Iris-setosa
4.99,3.16,1.59,0.37,Iris-setosa
4.39,3.38,1.73,0.33,Iris-setosa
4.38,3.95,1.18,0.23,Iris-setosa
4.55,2.99,1.68,0.36,Iris-setosa
4.61,4.14,1.79,0.54,Iris-setosa
4.66,3.25,1.89,0.49,Iris-setosa
4.34,2.44,1.42,0.55,Iris-setosa
5.11,3.35,1.09,0.43,Iris-setosa
5.53,3.1,1.7,0.58,Iris-setosa
4.61,3.4,1.26,0.5,Iris-setosa
5.17,3.63,1.72,0.3,Iris-setosa
5.67,3.42,1.14,0.45,Iris-setosa
5.49,2.97,1.77,0.55,Iris-setosa
4.72,4.37,1.13,0.2,Iris-setosa
4.58,4.18,1.59,0.18,Iris-setosa
4.96,3.59,1.08,0.54,Iris-setosa
5.51,3.36,1.87,0.31,Iris-setosa
5.78,3.7,1.57,0.18,Iris-setosa
5.62,3.2,1.15,0.11,Iris-setosa
5.14,3.41,1.65,0.55,Iris-setosa
4.42,3.84,1.17,0.53,Iris-setosa
5.53,3.44,1.64,0.26,Iris-setosa
5.01,4.03,1.41,0.28,Iris-setosa
5.04,4.04,1.3,0.19,Iris-setosa
5.37,4.03,1.09,0.22,Iris-setosa
4.51,3.03,1.41,0.47,Iris-setosa
5.28,3.6,1.32,0.52,Iris-setosa
5.01,4.36,1.57,0.16,Iris-setosa
5.31,2.98,1.62,0.13,Iris-setosa
4.56,4.1,1.2,0.52,Iris-setosa
4.72,3.65,1.62,0.36,Iris-setosa
4.76,2.75,1.03,0.25,Iris-setosa
5.28,4.27,1.78,0.48,Iris-setosa
5.48,3.7,1.23,0.55,Iris-setosa
5.31,3.48,1.1,0.32,Iris-setosa
4.99,4.12,1.49,0.29,Iris-setosa
5.77,2.53,1.38,0.12,Iris-setosa
5.41,4.23,1.25,0.53,Iris-setosa
4.74,4.21,1.68,0.5,Iris-setosa
4.33,4.32,1.65,0.25,Iris-setosa
5.54,2.89,1.79,0.16,Iris-setosa
5.36,3.44,1.09,0.22,Iris-setosa
4.32,3.28,1.27,0.4,Iris-setosa
4.75,2.93,1.67,0.12,Iris-setosa
5.65,4.09,1.6,0.4,Iris-setosa
5.64,2.69,1.07,0.22,Iris-setosa
5.49,2.37,1.52,0.6,Iris-setosa
5.58,3.4,1.06,0.52,Iris-setosa
5.2,2.54,1.08,0.55,Iris-setosa
5.3,4.04,1.79,0.39,Iris-setosa
5.08,3.2,1.29,0.32,Iris-setosa
5.46,3.56,1.8,0.32,Iris-setosa
5.21,3.63,1.53,0.45,Iris-setosa
4.66,3.38,1.09,0.29,Iris-setosa
5.03,3.67,1.86,0.4,Iris-setosa
5.42,3.36,1.57,0.14,Iris-setosa
4.68,3.06,1.43,0.12,Iris-setosa
4.51,2.88,1.87,0.27,Iris-setosa
5.02,2.71,1.55,0.24,Iris-setosa
4.61,3.38,1.0,0.1,Iris-setosa
4.63,2.38,1.1,0.27,Iris-setosa
5.5,3.5,1.46,0.25,Iris-setosa
5.7,3.13,1.08,0.41,Iris-setosa
4.47,3.02,1.46,0.54,Iris-setosa
5.04,3.77,1.89,0.17,Iris-setosa
4.71,3.13,1.38,0.31,Iris-setosa
5.66,3.8,1.55,0.25,Iris-setosa
